Title,Authors,Year,Summary,Connection to Your Work,Citation Snippet,Where to Add
"The frontier of simulation-based inference","Cranmer, Brehmer, Louppe",2020,"Comprehensive review of SBI methods; identifies key advances in neural density estimation and likelihood-free inference; describes SNPE and related techniques","Foundational SBI methodology paper; your work uses SNPE which is covered here; establishes theoretical grounding for likelihood-free approaches","...neural density estimation methods such as Sequential Neural Posterior Estimation (SNPE) [Cranmer et al., 2020]...","Section 1 (Introduction) - replace CA:CITE placeholder for SBI methodology"
"Simulation-Based Cosmological Mass Calibration of XXL Galaxy Clusters using HSC Weak Lensing","Tam, Umetsu, Amara, Eckert et al.",2026,"Uses SBI for mass calibration of galaxy clusters from weak lensing; applies to XXL survey clusters with HSC data","DIRECTLY RELEVANT - same application domain (WL cluster mass inference); compare their mass calibration approach to your JTF/FTJ methods","Previous work has applied SBI to cluster mass calibration using weak lensing observations [Tam et al., 2026]...","Section 2 (Introduction/Related Work) - cite alongside your methodology"
"Simulation-based cosmological inference from optically-selected galaxy clusters with Capish","Payerne, Murray, Simon",2026,"Develops Capish framework for SBI-based cosmological inference from optically-selected clusters; addresses selection effects","Relevant for richness-selected clusters; addresses similar selection/contamination issues you explore with richness bins","...handling selection effects in cluster samples [Payerne et al., 2026]...","Section 2 or Discussion - when discussing richness bin selection"
"The Importance of Being Adaptable: Domain Adaptation for Simulation-Based Inference with Galaxy Clusters","Ntampaka, Ciprijanovic, Delgado et al.",2025,"Addresses domain shift between simulations and observations for SBI with galaxy clusters; uses domain adaptation techniques","Relevant for model misspecification concerns; your calibration analysis touches on sim-to-real gap issues","Domain adaptation techniques can address mismatches between training simulations and real observations [Ntampaka et al., 2025]","Section 4.9 (Calibration discussion) or Discussion"
"Constraining Cosmology with Simulation-based Inference and Optical Galaxy Cluster Abundance","Reza, Zhang, Avestruz, Strigari et al.",2024,"Uses SBI for cosmological constraints from optical cluster abundance; develops forward modeling approach","Highly relevant - optical clusters + SBI; compare their cosmological focus to your mass-concentration inference","SBI has been applied to constrain cosmology from optical galaxy cluster abundances [Reza et al., 2024]","Section 1 or 2 - establishing context for cluster SBI"
"Galaxy cluster count cosmology with simulation-based inference","Regamey, Eckert, Seppi, Hartley et al.",2025,"Applies SBI to cluster count cosmology; develops simulation framework for cluster-based inference","Relevant methodology for cluster-based SBI inference","...cluster count cosmology using SBI [Regamey et al., 2025]...","Section 1 - establishing cluster SBI context"
"Extracting cosmological information from the abundance of galaxy clusters with simulation-based inference","Zubeldia, Bolliet, Challinor, Handley",2025,"Extracts cosmological info from cluster abundance using SBI; addresses systematics in cluster surveys","Methodologically relevant; addresses systematics handling which connects to your MCMC vs SBI comparison","...extracting cosmological information while accounting for systematics [Zubeldia et al., 2025]...","Section 1 or Discussion"
"Vision Transformers for Cosmological Fields: Application to Weak Lensing Mass Maps","Kakadia, Agrawal, Zhong, Jain",2025,"Uses vision transformers for WL mass map inference; neural architecture for field-level inference","Relevant for WL mass inference methodology; alternative neural approach to your SNPE","Alternative neural architectures have been explored for weak lensing mass inference [Kakadia et al., 2025]","Discussion - alternative methods"
"The Shear-to-Cosmology Paradigm I: Hybrid Field-Level and Simulation-Based Framework for Weak Lensing Surveys","Ding, Su, Yao, Zhang, Shan",2025,"Develops hybrid field-level SBI framework for WL surveys; combines multiple statistics","Relevant WL methodology; field-level approach vs your profile-based approach","Field-level approaches combine multiple WL statistics for inference [Ding et al., 2025]","Discussion - comparing approaches"
"Dark Energy Survey Year 3 results: Simulation-based wCDM inference from weak lensing and galaxy clustering maps","Thomsen, Bucko, Kacprzak, Ajani et al.",2025,"DES Y3 WL + clustering inference using SBI; large-scale application of neural inference","Major WL survey application; validates SBI for production cosmology","SBI has been successfully applied to production weak lensing surveys [Thomsen et al., 2025]","Section 1 - citing DES/major surveys (replace CA:CITE DES papers)"
"Cosmology from HSC Y1 weak lensing data with combined higher-order statistics and SBI","Novaes, Thiele, Armijo, Cheng, Cowell et al.",2025,"HSC Y1 cosmology using SBI with higher-order statistics; real survey application","Real WL survey application of SBI; validates approach on data","...demonstrated on HSC Year 1 weak lensing data [Novaes et al., 2025]","Section 1 - citing real survey applications"
"Simulation-Based Inference Benchmark for LSST Weak Lensing Cosmology","Zeghal, Lanzieri, Lanusse, Boucaud et al.",2024,"Establishes SBI benchmark for LSST WL; defines standards for method comparison","Directly relevant - establishes benchmarks for WL SBI like your JTF/FTJ comparison","Benchmarks have been established for SBI performance on LSST-era weak lensing [Zeghal et al., 2024]","Section 1 or 5 (Discussion) - LSST context"
"Hybrid summary statistics: neural weak lensing inference beyond the power spectrum","Makinen, Heavens, Porqueres et al.",2025,"Develops hybrid summary statistics for WL inference; neural compression of WL data","Relevant methodology - your percentile-based JTF summaries relate to summary statistic choice","Hybrid summary statistics can capture information beyond traditional two-point functions [Makinen et al., 2025]","Section 3 (Methods) - discussing summary statistics"
"Robust Simulation Based Inference","Tomaselli, Ventura, Wasserman",2025,"Develops robust SBI methods; addresses model misspecification and distributional robustness","Methodologically relevant - robustness connects to your calibration/overconfidence findings","Robust SBI methods address model misspecification [Tomaselli et al., 2025]","Section 4.9 (Calibration) or Discussion"
"First Estimation of Model Parameters for Neutrino-Induced Nucleon Knockout Using Simulation-Based Inference","Tame-Narvaez, Gardiner, Ciprijanovic, Cerati",2026,"Applies SBI to particle physics parameter estimation; demonstrates SBI for complex simulator tuning","Methodological parallel - SBI for physical parameter inference from complex simulations","SBI has proven effective for parameter estimation in diverse physical domains [Tame-Narvaez et al., 2026]","Discussion - broader SBI applications"
"Diffusion Models in Simulation-Based Inference: A Tutorial Review","Arruda, Bracher, Köthe, Hasenauer et al.",2025,"Reviews diffusion models for SBI; newer generative approach for posterior estimation","Methodological context - alternative to normalizing flows you use","Recent advances include diffusion-based approaches for posterior estimation [Arruda et al., 2025]","Discussion - future directions"
"CP4SBI: Local Conformal Calibration of Credible Sets in Simulation-Based Inference","Cabezas, Santos, Ramos et al.",2025,"Develops calibration methods for SBI credible intervals; addresses over/underconfidence","DIRECTLY RELEVANT to your calibration findings (SBI well-calibrated vs MCMC overconfident)","Calibration of SBI posteriors is an active area of research [Cabezas et al., 2025]","Section 4.9 (Calibration) - strongly supports your findings"
"Simulation-based inference with deep ensembles: Evaluating calibration uncertainty","Alvey, Contaldi, Pieroni",2025,"Evaluates SBI calibration using deep ensembles; addresses uncertainty quantification","Relevant to your calibration analysis; methods for assessing posterior quality","Deep ensembles can evaluate calibration uncertainty in SBI [Alvey et al., 2025]","Section 4.9 (Calibration discussion)"
"Tests for model misspecification in simulation-based inference: From local distortions to global model checks","Anau Montel, Alvey, Weniger",2024,"Develops tests for model misspecification in SBI; diagnostic tools","Relevant for understanding when SBI may fail; connects to your sim-obs comparison","Model misspecification tests can identify when SBI assumptions break down [Anau Montel et al., 2024]","Discussion - limitations and future work"
"GalSBI: Phenomenological galaxy population model for cosmology using simulation-based inference","Fischbacher, Kacprzak, Tortorelli, Moser et al.",2024,"Develops galaxy population model with SBI; population-level inference","Methodological parallel - population inference like your cluster population approach","Population-level inference with SBI has been developed for galaxy populations [Fischbacher et al., 2024]","Section 3 (Methods) - population modeling context"
"Simulation-Based Inference: A Practical Guide","Deistler, Boelts, Steinbach, Moss et al.",2025,"Practical guide to implementing SBI; best practices and recommendations","Useful methodological reference; validates choices in your implementation","We follow best practices for SBI implementation [Deistler et al., 2025]","Section 3 (Methods) - methodology justification"
"Towards mapping turbulence in the intracluster medium IV: Using NewAthena/X-IFU and SBI","Molin, Dupourqué, Clerc et al.",2025,"Applies SBI to intracluster medium turbulence using X-ray; cluster physics application","Related cluster application; different observable (ICM) but similar inference framework","SBI has been applied to diverse cluster observables including ICM properties [Molin et al., 2025]","Discussion - broader cluster applications"
"The Cosmological analysis of X-ray cluster surveys VII: Bypassing scaling relations with Lagrangian Deep Learning","Cerardi, Pierre, Lanusse, Corap",2025,"Uses deep learning to bypass cluster scaling relations; direct parameter inference","Relevant for scaling relation context; your M-c relation connects to scaling relation literature","Neural methods can bypass traditional scaling relations [Cerardi et al., 2025]","Section 2.1 or Discussion"
"Galaxy cluster characterization with machine learning techniques","Sadikov, Hlavacek-Larrondo, Levasseur et al.",2025,"ML techniques for cluster characterization; neural approaches for cluster properties","Relevant cluster ML methodology","Machine learning has been applied to various cluster characterization tasks [Sadikov et al., 2025]","Section 1 or Discussion"
"Detecting modeling bias with continuous time flow models on weak lensing maps","Diao, Dai, Seljak",2025,"Detects modeling bias in WL using flow models; bias detection methodology","Relevant for understanding model biases in WL inference","Flow models can detect modeling biases in weak lensing inference [Diao et al., 2025]","Discussion - model validation"
"Flexible Simulation Based Inference for Galaxy Photometric Fitting with Synthesizer","Harvey, Lovell, Newman et al.",2025,"Flexible SBI framework for galaxy fitting; demonstrates adaptability of SBI","Methodological flexibility example; validates SBI approach broadly","SBI provides flexible frameworks for photometric inference [Harvey et al., 2025]","Discussion"
"Simulation-based inference with neural posterior estimation applied to X-ray spectral fitting III","Barret, Dupourqué",2025,"Applies SNPE to X-ray spectral fitting; demonstrates SNPE for spectroscopy","Parallel application of SNPE methodology you use","SNPE has been applied to various spectroscopic fitting problems [Barret & Dupourqué, 2025]","Section 3 (Methods) - SNPE validation"
"Cosmological constraints using simulation-based inference of galaxy clustering with marked power spectra","Massara, Hahn, Eickenberg, Ho, Hou et al.",2025,"SBI for cosmology from marked power spectra; advanced summary statistics","Relevant summary statistic methodology","Marked statistics can enhance SBI cosmological constraints [Massara et al., 2025]","Discussion - summary statistics"
